name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Côte d'Ivoire,,,,,,,,,,,,447.3581683,453.2431002,446.91895,445.3382216,448.0567692,461.3586856,449.5212472,459.5983015,444.7670047,432.3874917,412.4596236,393.432418,368.2582941,360.3437572,363.968792,388.9591803,383.3724848,376.530922,376.1794471,357.1552278,354.7330137,373.6595195,373.9885698,370.7523245,357.8070221,389.7871513,386.1751694,374.6140282,435.315071,411.0640741,387.1878694,406.1440217,377.2318719,522.3427969,530.446538,511.6495961,539.7271852,531.2272102,476.8663142,501.8852599,563.3344063,597.4419031,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888.26569,1617.954102,1502.162864,1485.874569,1475.250968,1510.091668,1610.070316,1704.858924,1788.880027,1748.965964,1760.124718,1790.090991,1856.870495,1984.677928,1989.448299,2003.182125,2014.520495,2102.145852,2048.482718,1969.284352,1938.466619,1971.411631,1855.090663,,,
Cuba,,,,,,,,,,,,1216.2651,1154.556542,1210.494471,1263.047172,1279.418379,1324.955565,1424.737435,1496.16157,1521.642967,1523.38692,1521.935623,1536.905108,1611.384392,1570.254389,1549.011851,1532.030592,1578.259071,1638.953163,1774.994064,1671.508215,1387.31494,1215.267459,1010.097655,1029.996955,1020.370624,1100.985069,1127.396554,1053.013464,1089.343032,1163.130948,1134.58026,1052.230668,1044.62401,1010.684318,960.6680619,966.3499509,903.7954747,941.8392294,1118.099212,1017.759342,989.9144881,1003.378405,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,945.8187031,1188.659236,1231.205982,924.7526602,869.1814607,998.4563348,1074.366518,1123.515415,1208.194549,1261.513614,1232.101374,1247.808695,1290.519455,1327.217196,1306.763034,1460.413567,1635.553927,1642.215575,1675.875145,1780.710165,1778.876775,1958.675343,2056.322926,2298.169061,1981.382739,2157.986409,2072.996061,2176.36668,2146.616229,2265.41445,2198.933521,2187.146833,2336.014627,2150.106268,2149.296039,2202.083769,2293.675685,2398.687106,2315.817901,2213.094316,2120.695584,1971.471784,,,
Czech Republic,,,,,,,,,,,,4618.408711,4613.780591,4551.296952,4194.684185,4342.960366,4438.443585,4716.462701,4429.802566,4703.037045,4557.317686,4567.93052,4633.611367,4646.574497,4740.971072,4764.268339,4839.935925,4978.254945,4876.221068,4739.002775,4794.769172,4347.116644,4219.630292,4089.297575,3961.77968,4016.974504,4151.500677,4181.190534,4051.41401,3794.114175,3996.578471,4118.494255,4171.309443,4357.051179,4459.625339,4400.87116,4491.114919,4466.648632,4330.721839,4034.37995,4248.414469,4102.784104,4057.494374,3934.578923,,
Denmark,1922.973673,2023.30839,2296.289563,2502.927644,2600.155821,2822.734845,3067.427832,3061.110107,3203.752279,3699.530444,3971.430728,3728.538022,3858.592122,3781.757201,3489.606459,3453.207222,3745.561839,3830.10381,3894.637761,4020.036542,3735.144086,3381.43445,3422.374805,3233.1601,3353.461203,3774.101134,3823.501807,3819.832129,3642.119646,3414.211605,3377.006224,3735.026768,3562.098051,3645.722337,3760.774503,3706.654771,4170.397186,3848.386308,3772.348766,3602.91285,3489.874178,3584.276691,3535.471158,3728.201858,3597.53525,3488.389927,3729.431413,3623.856025,3502.596557,3330.259574,3510.79721,3228.693211,3101.498469,3123.46739,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0509419,,,,,,,,,,,,,,173.2573954,178.5700521,181.2556326,178.9045288,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.4941631,,,,,,,,,,,,,,554.5680768,581.2140285,594.1434432,607.3875274,,,,,,,,
Dominican Republic,,,,,,,,,,,,505.4012922,573.3727456,586.3149479,600.9451992,598.2222296,602.9228551,601.9517848,602.6261292,611.5822429,591.2373515,597.8690324,596.9336792,621.4408473,638.3847967,518.6560591,525.5707953,582.1916462,544.5525149,525.0457905,549.1979978,541.8737139,589.747998,559.6323598,631.962097,652.0272616,668.9677093,735.1980297,732.8859894,744.3596695,807.6846312,773.4978459,796.1511889,773.2504854,673.0060441,717.2426933,739.4298122,740.1787984,721.9204584,695.2771149,718.5853926,719.7064168,743.5553158,,,
East Asia & Pacific (all income levels),,,,,,,,,,,,658.8563831,679.1996644,711.7165224,711.5267551,725.0374388,747.4314294,783.9353344,815.9520769,834.0318757,822.9751169,805.4230942,811.7320913,821.1048345,856.5816744,862.7955177,880.4428277,901.1091934,938.3439832,956.1660159,1015.266887,1005.258211,1027.9472,1066.357333,1101.01856,1146.599503,1173.321402,1181.77239,1161.066441,1182.999284,1229.762619,1235.162819,1273.392593,1358.186418,1475.996505,1532.407693,1606.34374,1655.29993,1683.063395,1740.039491,1880.139025,1955.950022,2018.977379,,,
